PREST;ID;MONTO;VENC;TASA;PAGADA_EL;CANC;INT;ABONO;PAGO;RESTA
3;55.0;427.58;31-Jul-2016;1;25-Jul-2016;427.58;91.55;336.03;14304.39;8818.91
3;56.0;427.58;31-Ago-2016;1;27-Sep-2016;427.58;88.19;339.39;14643.78;8479.52
3;57.0;427.58;30-Sep-2016;1;3-Oct-2016;427.58;84.8;342.78;14986.56;8136.74
3;58.0;427.58;31-Oct-2016;1;21-Nov-2016;427.58;81.37;346.21;15332.77;7790.53
3;59.0;427.58;30-Nov-2016;1;;0;0;0;0;0
3;60.0;427.58;31-Dic-2016;1;;0;0;0;0;0
3;61.0;427.58;31-Ene-2017;1;;0;0;0;0;0
3;62.0;427.58;28-Feb-2017;1;;0;0;0;0;0
3;63.0;427.58;31-Mar-2017;1;;0;0;0;0;0
3;64.0;427.58;30-Abr-2017;1;;0;0;0;0;0
3;65.0;427.58;31-May-2017;1;;0;0;0;0;0
3;66.0;427.58;30-Jun-2017;1;;0;0;0;0;0
3;67.0;427.58;31-Jul-2017;1;;0;0;0;0;0
3;68.0;427.58;31-Ago-2017;1;;0;0;0;0;0
3;69.0;427.58;30-Sep-2017;1;;0;0;0;0;0
3;70.0;427.58;31-Oct-2017;1;;0;0;0;0;0
3;71.0;427.58;30-Nov-2017;1;;0;0;0;0;0
3;72.0;427.58;31-Dic-2017;1;;0;0;0;0;0
3;73.0;427.58;31-Ene-2018;1;;0;0;0;0;0
3;74.0;427.58;28-Feb-2018;1;;0;0;0;0;0
3;75.0;427.58;31-Mar-2018;1;;0;0;0;0;0
3;76.0;427.58;30-Abr-2018;1;;0;0;0;0;0
3;77.0;472.89;31-May-2018;1;;0;0;0;0;0
3;78.0;472.88;30-Jun-2018;1;;0;0;0;0;0
4;1.0;430.41;31-Ene-2012;1;4-May-2012;430.41;256.38;174.03;174.03;25463.61
4;2.0;430.41;29-Feb-2012;1;4-May-2012;430.41;254.64;175.77;349.8;25287.84
4;3.0;430.41;31-Mar-2012;1;16-May-2012;430.41;252.88;177.53;527.33;25110.31
4;4.0;430.41;30-Abr-2012;1;17-May-2012;430.41;251.1;179.31;706.64;24931
4;5.0;430.41;31-May-2012;1;4-Jul-2012;430.41;249.31;181.1;887.74;24749.9
4;6.0;430.41;30-Jun-2012;1;27-Jul-2012;430.41;247.5;182.91;1070.65;24566.99
4;7.0;430.41;31-Jul-2012;1;19-Sep-2012;430.41;245.67;184.74;1255.39;24382.25
4;8.0;430.41;31-Ago-2012;1;19-Oct-2012;430.41;243.82;186.59;1441.98;24195.66
4;9.0;430.41;30-Sep-2012;1;26-Oct-2012;430.41;241.96;188.45;1630.43;24007.21
4;10.0;430.41;31-Oct-2012;1;6-Feb-2013;430.41;240.07;190.34;1820.77;23816.87
4;11.0;430.41;30-Nov-2012;1;15-Feb-2013;430.41;238.17;192.24;2013.01;23624.63
4;12.0;430.41;31-Dic-2012;1;2-Abr-2013;430.41;236.25;194.16;2207.17;23430.47
4;13.0;430.41;31-Ene-2013;1;9-May-2013;430.41;234.3;196.11;2403.28;23234.36
4;14.0;430.41;28-Feb-2013;1;2-Jul-2013;430.41;232.34;198.07;2601.35;23036.29
4;15.0;430.41;31-Mar-2013;1;8-Jul-2013;430.41;230.36;200.05;2801.4;22836.24
4;16.0;430.41;30-Abr-2013;1;9-Jul-2013;430.41;228.36;202.05;3003.45;22634.19
4;17.0;430.41;31-May-2013;1;10-Jul-2013;430.41;226.34;204.07;3207.52;22430.12
4;18.0;430.41;30-Jun-2013;1;15-Jul-2013;430.41;224.3;206.11;3413.63;22224.01
4;19.0;430.41;31-Jul-2013;1;12-Nov-2013;430.41;222.24;208.17;3621.8;22015.84
4;20.0;430.41;31-Ago-2013;1;5-Dic-2013;430.41;220.16;210.25;3832.05;21805.59
4;21.0;430.41;30-Sep-2013;1;5-Dic-2013;430.41;218.06;212.35;4044.4;21593.24
4;22.0;430.41;31-Oct-2013;1;22-Ene-2014;430.41;215.93;214.48;4258.88;21378.76
4;23.0;430.41;30-Nov-2013;1;23-Ene-2014;430.41;213.79;216.62;4475.5;21162.14
4;24.0;430.41;31-Dic-2013;1;27-Ene-2014;430.41;211.62;218.79;4694.29;20943.35
4;25.0;430.41;31-Ene-2014;1;24-Mar-2014;430.41;209.43;220.98;4915.27;20722.37
4;26.0;430.41;28-Feb-2014;1;13-May-2014;430.41;207.22;223.19;5138.46;20499.18
4;27.0;430.41;31-Mar-2014;1;19-May-2014;430.41;204.99;225.42;5363.88;20273.76
4;28.0;430.41;30-Abr-2014;1;27-May-2014;430.41;202.74;227.67;5591.55;20046.09
4;29.0;430.41;31-May-2014;1;13-Jun-2014;430.41;200.46;229.95;5821.5;19816.14
4;30.0;430.41;30-Jun-2014;1;3-Jul-2014;430.41;198.16;232.25;6053.75;19583.89
4;31.0;430.41;31-Jul-2014;1;25-Sep-2014;430.41;195.84;234.57;6288.32;19349.32
4;32.0;430.41;31-Ago-2014;1;23-Oct-2014;430.41;193.49;236.92;6525.24;19112.4
4;33.0;430.41;30-Sep-2014;1;31-Oct-2014;430.41;191.12;239.29;6764.53;18873.11
4;34.0;430.41;31-Oct-2014;1;18-Nov-2014;430.41;188.73;241.68;7006.21;18631.43
4;35.0;430.41;30-Nov-2014;1;27-Nov-2014;430.41;186.31;244.1;7250.31;18387.33
4;36.0;430.41;31-Dic-2014;1;19-Dic-2014;430.41;183.87;246.54;7496.85;18140.79
4;37.0;430.41;31-Ene-2015;1;6-Mar-2015;430.41;181.41;249;7745.85;17891.79
4;38.0;430.41;28-Feb-2015;1;6-Mar-2015;430.41;178.92;251.49;7997.34;17640.3
4;39.0;430.41;31-Mar-2015;1;5-May-2015;430.41;176.4;254.01;8251.35;17386.29
4;40.0;430.41;30-Abr-2015;1;2-Jun-2015;430.41;173.86;256.55;8507.9;17129.74
4;41.0;430.41;31-May-2015;1;10-Jun-2015;430.41;171.3;259.11;8767.01;16870.63
4;42.0;430.41;30-Jun-2015;1;14-Jul-2015;430.41;168.71;261.7;9028.71;16608.93
4;43.0;430.41;31-Jul-2015;1;14-Sep-2015;430.41;166.09;264.32;9293.03;16344.61
4;44.0;430.41;31-Ago-2015;1;29-Sep-2015;430.41;163.45;266.96;9559.99;16077.65
4;45.0;430.41;30-Sep-2015;1;29-Sep-2015;430.41;160.78;269.63;9829.62;15808.02
4;46.0;430.41;31-Oct-2015;1;9-Nov-2015;430.41;158.08;272.33;10101.95;15535.69
4;47.0;430.41;30-Nov-2015;1;3-Dic-2015;430.41;155.36;275.05;10377;15260.64
4;91.0;294.01;31-Jul-2019;1;;0;0;0;0;0
4;90.0;430.41;30-Jun-2019;1;;0;0;0;0;0
4;89.0;430.41;31-May-2019;1;;0;0;0;0;0
4;88.0;430.41;30-Abr-2019;1;;0;0;0;0;0
4;87.0;430.41;31-Mar-2019;1;;0;0;0;0;0
4;86.0;430.41;28-Feb-2019;1;;0;0;0;0;0
4;85.0;430.41;31-Ene-2019;1;;0;0;0;0;0
4;84.0;430.41;31-Dic-2018;1;;0;0;0;0;0
4;83.0;430.41;30-Nov-2018;1;;0;0;0;0;0
4;82.0;430.41;31-Oct-2018;1;;0;0;0;0;0
4;81.0;430.41;30-Sep-2018;1;;0;0;0;0;0
4;80.0;430.41;31-Ago-2018;1;;0;0;0;0;0
4;79.0;430.41;31-Jul-2018;1;;0;0;0;0;0
4;78.0;430.41;30-Jun-2018;1;;0;0;0;0;0
4;77.0;430.41;31-May-2018;1;;0;0;0;0;0
4;76.0;430.41;30-Abr-2018;1;;0;0;0;0;0
4;75.0;430.41;31-Mar-2018;1;;0;0;0;0;0
4;74.0;430.41;28-Feb-2018;1;;0;0;0;0;0
4;73.0;430.41;31-Ene-2018;1;;0;0;0;0;0
4;72.0;430.41;31-Dic-2017;1;;0;0;0;0;0
4;71.0;430.41;30-Nov-2017;1;;0;0;0;0;0
4;70.0;430.41;31-Oct-2017;1;;0;0;0;0;0
4;69.0;430.41;30-Sep-2017;1;;0;0;0;0;0
4;68.0;430.41;31-Ago-2017;1;;0;0;0;0;0
4;67.0;430.41;31-Jul-2017;1;;0;0;0;0;0
4;66.0;430.41;30-Jun-2017;1;;0;0;0;0;0
4;65.0;430.41;31-May-2017;1;;0;0;0;0;0
4;64.0;430.41;30-Abr-2017;1;;0;0;0;0;0
4;63.0;430.41;31-Mar-2017;1;;0;0;0;0;0
4;62.0;430.41;28-Feb-2017;1;;0;0;0;0;0
4;61.0;430.41;31-Ene-2017;1;;0;0;0;0;0
4;60.0;430.41;31-Dic-2016;1;;0;0;0;0;0
4;59.0;430.41;30-Nov-2016;1;12-Dic-2016;430.41;119.49;310.92;13999.72;11637.92
4;58.0;430.41;31-Oct-2016;1;21-Nov-2016;430.41;122.57;307.84;13688.8;11948.84
4;57.0;430.41;30-Sep-2016;1;3-Oct-2016;430.41;125.61;304.8;13380.96;12256.68
4;56.0;430.41;31-Ago-2016;1;26-Sep-2016;430.41;128.63;301.78;13076.16;12561.48
4;55.0;430.41;31-Jul-2016;1;25-Jul-2016;430.41;131.62;298.79;12774.38;12863.26
4;54.0;430.41;30-Jun-2016;1;14-Jul-2016;430.41;134.58;295.83;12475.59;13162.05
4;53.0;430.41;31-May-2016;1;6-Jul-2016;430.41;137.51;292.9;12179.76;13457.88
4;52.0;523.18;30-Abr-2016;1;6-Jul-2016;523.18;141.33;381.85;11886.86;13750.78
4;51.0;430.41;31-Mar-2016;1;2-May-2016;430.41;144.19;286.22;11505.01;14132.63
4;50.0;430.43;29-Feb-2016;1;7-Mar-2016;430.43;147.02;283.41;11218.79;14418.85
4;49.0;430.41;31-Ene-2016;1;19-Feb-2016;430.41;149.83;280.58;10935.38;14702.26
4;48.0;430.41;31-Dic-2015;1;19-Feb-2016;430.41;152.61;277.8;10654.8;14982.84
9;1.0;427.58;31-Ene-2012;1;4-May-2012;427.58;224.85;202.73;202.73;22282.66
9;2.0;427.58;29-Feb-2012;1;4-May-2012;427.58;222.83;204.75;407.48;22077.91
9;3.0;427.58;31-Mar-2012;1;16-May-2012;427.58;220.78;206.8;614.28;21871.11
9;4.0;427.58;30-Abr-2012;1;17-May-2012;427.58;218.71;208.87;823.15;21662.24
9;5.0;427.58;31-May-2012;1;4-Jul-2012;427.58;216.62;210.96;1034.11;21451.28
9;6.0;427.58;30-Jun-2012;1;27-Jul-2012;427.58;214.51;213.07;1247.18;21238.21
9;7.0;427.58;31-Jul-2012;1;19-Sep-2012;427.58;212.38;215.2;1462.38;21023.01
9;8.0;427.58;31-Ago-2012;1;19-Oct-2012;427.58;210.23;217.35;1679.73;20805.66
9;9.0;427.58;30-Sep-2012;1;26-Oct-2012;427.58;208.06;219.52;1899.25;20586.14
9;10.0;427.58;31-Oct-2012;1;6-Feb-2013;427.58;205.86;221.72;2120.97;20364.42
9;11.0;427.58;30-Nov-2012;1;15-Feb-2013;427.58;203.64;223.94;2344.91;20140.48
9;12.0;427.58;31-Dic-2012;1;2-Abr-2013;427.58;201.4;226.18;2571.09;19914.3
9;13.0;427.58;31-Ene-2013;1;9-May-2013;427.58;199.14;228.44;2799.53;19685.86
9;14.0;427.58;28-Feb-2013;1;2-Jul-2013;427.58;196.86;230.72;3030.25;19455.14
9;15.0;427.58;31-Mar-2013;1;8-Jul-2013;427.58;194.55;233.03;3263.28;19222.11
9;16.0;427.58;30-Abr-2013;1;9-Jul-2013;427.58;192.22;235.36;3498.64;18986.75
9;17.0;427.58;31-May-2013;1;10-Jul-2013;427.58;189.87;237.71;3736.35;18749.04
9;18.0;427.58;30-Jun-2013;1;15-Jul-2013;427.58;187.49;240.09;3976.44;18508.95
9;19.0;427.58;31-Jul-2013;1;12-Nov-2013;427.58;185.09;242.49;4218.93;18266.46
9;20.0;427.58;31-Ago-2013;1;5-Dic-2013;427.58;182.66;244.92;4463.85;18021.54
9;21.0;427.58;30-Sep-2013;1;5-Dic-2013;427.58;180.22;247.36;4711.21;17774.18
9;22.0;427.58;31-Oct-2013;1;22-Ene-2014;427.58;177.74;249.84;4961.05;17524.34
9;23.0;427.58;30-Nov-2013;1;23-Ene-2014;427.58;175.24;252.34;5213.39;17272
9;24.0;427.58;31-Dic-2013;1;27-Ene-2014;427.58;172.72;254.86;5468.25;17017.14
9;25.0;427.58;31-Ene-2014;1;24-Mar-2014;427.58;170.17;257.41;5725.66;16759.73
9;26.0;427.58;28-Feb-2014;1;13-May-2014;427.58;167.6;259.98;5985.64;16499.75
9;27.0;427.58;31-Mar-2014;1;19-May-2014;427.58;165;262.58;6248.22;16237.17
9;28.0;427.58;30-Abr-2014;1;27-May-2014;427.58;162.37;265.21;6513.43;15971.96
9;29.0;427.58;31-May-2014;1;12-Jun-2014;427.58;159.72;267.86;6781.29;15704.1
9;30.0;427.58;30-Jun-2014;1;3-Jul-2014;427.58;157.04;270.54;7051.83;15433.56
9;31.0;427.58;31-Jul-2014;1;25-Sep-2014;427.58;154.34;273.24;7325.07;15160.32
9;32.0;427.58;31-Ago-2014;1;23-Oct-2014;427.58;151.6;275.98;7601.05;14884.34
9;33.0;427.58;30-Sep-2014;1;31-Oct-2014;427.58;148.84;278.74;7879.79;14605.6
9;34.0;427.58;31-Oct-2014;1;18-Nov-2014;427.58;146.06;281.52;8161.31;14324.08
9;35.0;427.58;30-Nov-2014;1;27-Nov-2014;427.58;143.24;284.34;8445.65;14039.74
9;36.0;427.58;31-Dic-2014;1;19-Dic-2014;427.58;140.4;287.18;8732.83;13752.56
9;37.0;427.58;31-Ene-2015;1;9-Feb-2015;427.58;137.53;290.05;9022.88;13462.51
9;38.0;427.58;28-Feb-2015;1;9-Mar-2015;427.58;134.63;292.95;9315.83;13169.56
9;39.0;427.58;31-Mar-2015;1;20-Abr-2015;427.58;131.7;295.88;9611.71;12873.68
9;40.0;427.58;30-Abr-2015;1;21-May-2015;427.58;128.74;298.84;9910.55;12574.84
9;41.0;427.58;31-May-2015;1;10-Jun-2015;427.58;125.75;301.83;10212.38;12273.01
9;42.0;427.58;30-Jun-2015;1;14-Jul-2015;427.58;122.73;304.85;10517.23;11968.16
9;43.0;427.58;31-Jul-2015;1;14-Sep-2015;427.58;119.68;307.9;10825.13;11660.26
9;44.0;427.58;31-Ago-2015;1;29-Sep-2015;427.58;116.6;310.98;11136.11;11349.28
9;45.0;427.58;30-Sep-2015;1;29-Sep-2015;427.58;113.49;314.09;11450.2;11035.19
9;46.0;427.58;31-Oct-2015;1;9-Nov-2015;427.58;110.35;317.23;11767.43;10717.96
9;47.0;427.58;30-Nov-2015;1;3-Dic-2015;427.58;107.18;320.4;12087.83;10397.56
9;48.0;427.58;31-Dic-2015;1;15-Ene-2016;427.58;103.98;323.6;12411.43;10073.96
9;49.0;427.58;31-Ene-2016;1;28-Ene-2016;427.58;100.74;326.84;12738.27;9747.12
9;50.0;427.58;29-Feb-2016;1;7-Mar-2016;427.58;97.47;330.11;13068.38;9417.01
9;51.0;427.58;31-Mar-2016;1;2-May-2016;427.58;94.17;333.41;13401.79;9083.6
9;52.0;427.58;30-Abr-2016;1;3-May-2016;427.58;90.84;336.74;13738.53;8746.86
9;53.0;427.58;31-May-2016;1;10-Jun-2016;427.58;87.47;340.11;14078.64;8406.75
9;54.0;427.58;30-Jun-2016;1;14-Jul-2016;427.58;84.07;343.51;14422.15;8063.24
9;55.0;427.58;31-Jul-2016;1;25-Jul-2016;427.58;80.63;346.95;14769.1;7716.29
9;56.0;427.58;31-Ago-2016;1;27-Sep-2016;427.58;77.16;350.42;15119.52;7365.87
9;57.0;427.58;30-Sep-2016;1;3-Oct-2016;427.58;73.66;353.92;15473.44;7011.95
9;58.0;427.58;31-Oct-2016;1;21-Nov-2016;427.58;70.12;357.46;15830.9;6654.49
9;59.0;427.58;30-Nov-2016;1;12-Dic-2016;427.58;66.54;361.04;16191.94;6293.45
9;60.0;427.58;31-Dic-2016;1;;0;0;0;0;0
9;61.0;427.58;31-Ene-2017;1;;0;0;0;0;0
9;62.0;427.58;28-Feb-2017;1;;0;0;0;0;0
9;63.0;427.58;31-Mar-2017;1;;0;0;0;0;0
9;64.0;427.58;30-Abr-2017;1;;0;0;0;0;0
9;65.0;427.58;31-May-2017;1;;0;0;0;0;0
9;66.0;427.58;30-Jun-2017;1;;0;0;0;0;0
9;67.0;427.58;31-Jul-2017;1;;0;0;0;0;0
9;68.0;427.58;31-Ago-2017;1;;0;0;0;0;0
9;69.0;427.58;30-Sep-2017;1;;0;0;0;0;0
9;70.0;427.58;31-Oct-2017;1;;0;0;0;0;0
9;71.0;427.58;30-Nov-2017;1;;0;0;0;0;0
9;72.0;427.58;31-Dic-2017;1;;0;0;0;0;0
9;73.0;427.58;31-Ene-2018;1;;0;0;0;0;0
9;74.0;427.81;28-Feb-2018;1;;0;0;0;0;0
9;75.0;427.8;31-Mar-2018;1;;0;0;0;0;0
12;1.0;445.77;31-Ene-2012;1;3-May-2012;445.77;252.52;193.25;193.25;25058.71
12;2.0;445.77;29-Feb-2012;1;4-May-2012;445.77;250.59;195.18;388.43;24863.53
12;3.0;445.77;31-Mar-2012;1;16-May-2012;445.77;248.64;197.13;585.56;24666.4
12;4.0;445.77;30-Abr-2012;1;17-May-2012;445.77;246.66;199.11;784.67;24467.29
12;5.0;445.77;31-May-2012;1;4-Jul-2012;445.77;244.67;201.1;985.77;24266.19
12;6.0;445.77;30-Jun-2012;1;27-Jul-2012;445.77;242.66;203.11;1188.88;24063.08
12;7.0;445.77;31-Jul-2012;1;19-Sep-2012;445.77;240.63;205.14;1394.02;23857.94
12;8.0;445.77;31-Ago-2012;1;18-Oct-2012;445.77;238.58;207.19;1601.21;23650.75
12;9.0;445.77;30-Sep-2012;1;29-Oct-2012;445.77;236.51;209.26;1810.47;23441.49
12;10.0;445.77;31-Oct-2012;1;5-Feb-2013;445.77;234.41;211.36;2021.83;23230.13
12;11.0;445.77;30-Nov-2012;1;15-Feb-2013;445.77;232.3;213.47;2235.3;23016.66
12;12.0;445.77;31-Dic-2012;1;1-Abr-2013;445.77;230.17;215.6;2450.9;22801.06
12;13.0;445.77;31-Ene-2013;1;10-Jun-2013;445.77;228.01;217.76;2668.66;22583.3
12;14.0;445.77;28-Feb-2013;1;2-Jul-2013;445.77;225.83;219.94;2888.6;22363.36
12;15.0;445.77;31-Mar-2013;1;8-Jul-2013;445.77;223.63;222.14;3110.74;22141.22
12;16.0;445.77;30-Abr-2013;1;9-Jul-2013;445.77;221.41;224.36;3335.1;21916.86
12;17.0;445.77;31-May-2013;1;9-Jul-2013;445.77;219.17;226.6;3561.7;21690.26
12;18.0;445.77;30-Jun-2013;1;11-Jul-2013;445.77;216.9;228.87;3790.57;21461.39
12;19.0;445.77;31-Jul-2013;1;11-Nov-2013;445.77;214.61;231.16;4021.73;21230.23
12;20.0;445.77;31-Ago-2013;1;5-Dic-2013;445.77;212.3;233.47;4255.2;20996.76
12;21.0;445.77;30-Sep-2013;1;5-Dic-2013;445.77;209.97;235.8;4491;20760.96
12;22.0;445.77;31-Oct-2013;1;22-Ene-2014;445.77;207.61;238.16;4729.16;20522.8
12;23.0;445.77;30-Nov-2013;1;21-Feb-2014;445.77;205.23;240.54;4969.7;20282.26
12;24.0;445.77;31-Dic-2013;1;21-Feb-2014;445.77;202.82;242.95;5212.65;20039.31
12;25.0;445.77;31-Ene-2014;1;21-Mar-2014;445.77;200.39;245.38;5458.03;19793.93
12;26.0;445.77;28-Feb-2014;1;15-May-2014;445.77;197.94;247.83;5705.86;19546.1
12;27.0;445.77;31-Mar-2014;1;19-May-2014;445.77;195.46;250.31;5956.17;19295.79
12;28.0;445.77;30-Abr-2014;1;27-May-2014;445.77;192.96;252.81;6208.98;19042.98
12;29.0;445.77;31-May-2014;1;12-Jun-2014;445.77;190.43;255.34;6464.32;18787.64
12;30.0;445.77;30-Jun-2014;1;3-Jul-2014;445.77;187.88;257.89;6722.21;18529.75
12;31.0;445.77;31-Jul-2014;1;18-Sep-2014;445.77;185.3;260.47;6982.68;18269.28
12;32.0;445.77;31-Ago-2014;1;23-Oct-2014;445.77;182.69;263.08;7245.76;18006.2
12;33.0;445.77;30-Sep-2014;1;31-Oct-2014;445.77;180.06;265.71;7511.47;17740.49
12;34.0;445.77;31-Oct-2014;1;18-Nov-2014;445.77;177.4;268.37;7779.84;17472.12
12;35.0;445.77;30-Nov-2014;1;27-Nov-2014;445.77;174.72;271.05;8050.89;17201.07
12;36.0;445.77;31-Dic-2014;1;19-Dic-2014;445.77;172.01;273.76;8324.65;16927.31
12;37.0;445.77;31-Ene-2015;1;9-Feb-2015;445.77;169.27;276.5;8601.15;16650.81
12;38.0;445.77;28-Feb-2015;1;6-Mar-2015;445.77;166.51;279.26;8880.41;16371.55
12;39.0;445.77;31-Mar-2015;1;20-Abr-2015;445.77;163.72;282.05;9162.46;16089.5
12;40.0;445.77;30-Abr-2015;1;4-Jun-2015;445.77;160.9;284.87;9447.33;15804.63
12;41.0;445.77;31-May-2015;1;10-Jun-2015;445.77;158.05;287.72;9735.05;15516.91
12;42.0;445.77;30-Jun-2015;1;14-Jul-2015;445.77;155.17;290.6;10025.65;15226.31
12;43.0;445.77;31-Jul-2015;1;14-Sep-2015;445.77;152.26;293.51;10319.16;14932.8
12;44.0;445.77;31-Ago-2015;1;29-Sep-2015;445.77;149.33;296.44;10615.6;14636.36
12;45.0;445.77;30-Sep-2015;1;29-Sep-2015;445.77;146.36;299.41;10915.01;14336.95
12;46.0;445.77;31-Oct-2015;1;5-Nov-2015;445.77;143.37;302.4;11217.41;14034.55
12;47.0;445.77;30-Nov-2015;1;3-Dic-2015;445.77;140.35;305.42;11522.83;13729.13
12;48.0;445.77;31-Dic-2015;1;15-Ene-2016;445.77;137.29;308.48;11831.31;13420.65
12;49.0;445.77;31-Ene-2016;1;28-Ene-2016;445.77;134.21;311.56;12142.87;13109.09
12;50.0;445.77;29-Feb-2016;1;7-Mar-2016;445.77;131.09;314.68;12457.55;12794.41
12;51.0;445.77;31-Mar-2016;1;2-May-2016;445.77;127.94;317.83;12775.38;12476.58
12;52.0;445.77;30-Abr-2016;1;3-May-2016;445.77;124.77;321;13096.38;12155.58
